PERMNO,date,PRC
17778,20050103,87100.00000
17778,20050104,85901.00000
17778,20050105,85700.00000
17778,20050106,86192.00000
17778,20050107,87500.10156
17778,20050110,87790.00000
17778,20050111,86390.00000
17778,20050112,86300.00000
17778,20050113,86089.00000
17778,20050114,85850.00000
17778,20050118,86600.00000
17778,20050119,86895.00000
17778,20050120,87600.10156
17778,20050121,90000.00000
17778,20050124,90000.00000
17778,20050125,89400.00000
17778,20050126,89190.00000
17778,20050127,88650.00000
17778,20050128,90000.00000
17778,20050131,89900.00000
17778,20050201,90850.00000
17778,20050202,90400.00000
17778,20050203,90100.00000
17778,20050204,90995.00000
17778,20050207,91400.00000
17778,20050208,91000.00000
17778,20050209,90800.00000
17778,20050210,90800.00000
17778,20050211,91700.10156
17778,20050214,91480.00000
17778,20050215,91200.00000
17778,20050216,90510.00000
17778,20050217,90302.00000
17778,20050218,89900.00000
17778,20050222,89900.20313
17778,20050223,91100.00000
17778,20050224,90375.00000
17778,20050225,90490.00000
17778,20050228,90200.00000
17778,20050301,90800.00000
17778,20050302,90300.00000
17778,20050303,89602.00000
17778,20050304,89300.00000
17778,20050307,90100.00000
17778,20050308,90200.00000
17778,20050309,91000.00000
17778,20050310,90700.00000
17778,20050311,90625.00000
17778,20050314,90600.00000
17778,20050315,89900.00000
17778,20050316,86195.00000
17778,20050317,88200.00000
17778,20050318,87600.00000
17778,20050321,87500.00000
17778,20050322,86802.00000
17778,20050323,86500.00000
17778,20050324,87400.10156
17778,20050328,86800.00000
17778,20050329,87000.00000
17778,20050330,87000.10156
17778,20050331,87000.00000
17778,20050401,85000.00000
17778,20050404,87190.00000
17778,20050405,88000.00000
17778,20050406,88300.20313
17778,20050407,87500.10156
17778,20050408,86900.00000
17778,20050411,87570.00000
17778,20050412,87950.00000
17778,20050413,86600.00000
17778,20050414,86000.00000
17778,20050415,85800.00000
17778,20050418,85310.00000
17778,20050419,85089.89844
17778,20050420,82800.00000
17778,20050421,83900.00000
17778,20050422,82050.00000
17778,20050425,82600.00000
17778,20050426,82410.00000
17778,20050427,82305.00000
17778,20050428,83600.10156
17778,20050429,84350.00000
17778,20050502,84900.00000
17778,20050503,84400.00000
17778,20050504,84950.00000
17778,20050505,84200.00000
17778,20050506,83999.89844
17778,20050509,83250.00000
17778,20050510,83100.00000
17778,20050511,82775.00000
17778,20050512,83150.10156
17778,20050513,83000.00000
17778,20050516,82500.00000
17778,20050517,82500.00000
17778,20050518,82900.00000
17778,20050519,83700.10156
17778,20050520,84000.00000
17778,20050523,83490.00000
17778,20050524,85500.00000
17778,20050525,85200.00000
17778,20050526,84749.79688
17778,20050527,85370.00000
17778,20050531,84100.00000
17778,20050601,84350.00000
17778,20050602,84125.00000
17778,20050603,83800.00000
17778,20050606,83190.00000
17778,20050607,83390.00000
17778,20050608,83100.00000
17778,20050609,83075.10156
17778,20050610,83000.10156
17778,20050613,84400.00000
17778,20050614,84400.00000
17778,20050615,83610.00000
17778,20050616,83520.00000
17778,20050617,82375.00000
17778,20050620,82700.00000
17778,20050621,83650.00000
17778,20050622,83000.00000
17778,20050623,83000.00000
17778,20050624,82800.00000
17778,20050627,83500.00000
17778,20050628,83100.00000
17778,20050629,83350.00000
17778,20050630,83500.00000
17778,20050701,83840.00000
17778,20050705,84300.00000
17778,20050706,85375.00000
17778,20050707,85200.00000
17778,20050708,85000.00000
17778,20050711,85300.00000
17778,20050712,84600.00000
17778,20050713,84400.00000
17778,20050714,83700.00000
17778,20050715,84000.00000
17778,20050718,83600.00000
17778,20050719,83700.00000
17778,20050720,83879.89844
17778,20050721,83700.00000
17778,20050722,83710.00000
17778,20050725,84000.00000
17778,20050726,83800.00000
17778,20050727,83800.00000
17778,20050728,83700.00000
17778,20050729,83500.00000
17778,20050801,84100.00000
17778,20050802,83600.10156
17778,20050803,83400.00000
17778,20050804,83995.00000
17778,20050805,83500.00000
17778,20050808,83300.00000
17778,20050809,83200.00000
17778,20050810,83200.00000
17778,20050811,84100.00000
17778,20050812,84200.00000
17778,20050815,83390.00000
17778,20050816,83225.00000
17778,20050817,82950.10156
17778,20050818,84700.00000
17778,20050819,85000.00000
17778,20050822,84600.00000
17778,20050823,84600.00000
17778,20050824,84375.00000
17778,20050825,83700.00000
17778,20050826,83200.00000
17778,20050829,83300.00000
17778,20050830,82900.00000
17778,20050831,83150.00000
17778,20050901,82700.00000
17778,20050902,82990.00000
17778,20050906,83800.00000
17778,20050907,84100.00000
17778,20050908,84400.00000
17778,20050909,83750.00000
17778,20050912,83390.00000
17778,20050913,83190.00000
17778,20050914,83100.00000
17778,20050915,82500.00000
17778,20050916,81400.00000
17778,20050919,81600.00000
17778,20050920,81600.00000
17778,20050921,80500.00000
17778,20050922,80500.00000
17778,20050923,82500.00000
17778,20050926,82500.00000
17778,20050927,82500.00000
17778,20050928,82350.00000
17778,20050929,81400.00000
17778,20050930,82000.00000
17778,20051003,82400.00000
17778,20051004,82500.00000
17778,20051005,83050.10156
17778,20051006,83100.00000
17778,20051007,83100.00000
17778,20051010,84500.00000
17778,20051011,84400.00000
17778,20051012,84800.00000
17778,20051013,84300.00000
17778,20051014,84600.00000
17778,20051017,84850.00000
17778,20051018,84600.00000
17778,20051019,84500.00000
17778,20051020,84500.00000
17778,20051021,84500.00000
17778,20051024,84800.00000
17778,20051025,85100.00000
17778,20051026,84900.10156
17778,20051027,84900.00000
17778,20051028,85200.00000
17778,20051031,85900.00000
17778,20051101,86600.00000
17778,20051102,87200.00000
17778,20051103,88300.00000
17778,20051104,88300.00000
17778,20051107,89890.00000
17778,20051108,90650.00000
17778,20051109,90440.00000
17778,20051110,90490.00000
17778,20051111,90500.00000
17778,20051114,90140.00000
17778,20051115,89990.00000
17778,20051116,89000.00000
17778,20051117,89700.00000
17778,20051118,89500.00000
17778,20051121,88000.00000
17778,20051122,87390.00000
17778,20051123,88100.00000
17778,20051125,87900.00000
17778,20051128,87800.10156
17778,20051129,88310.10156
17778,20051130,89390.00000
17778,20051201,90880.00000
17778,20051202,90900.00000
17778,20051205,89190.00000
17778,20051206,89900.00000
17778,20051207,89799.89844
17778,20051208,89590.00000
17778,20051209,89525.00000
17778,20051212,89500.00000
17778,20051213,89195.00000
17778,20051214,89200.10156
17778,20051215,89300.10156
17778,20051216,89300.00000
17778,20051219,89000.00000
17778,20051220,88700.10156
17778,20051221,88750.00000
17778,20051222,88400.00000
17778,20051223,88700.00000
17778,20051227,88600.00000
17778,20051228,88500.00000
17778,20051229,88700.00000
17778,20051230,88620.00000
17778,20060103,89300.00000
17778,20060104,89690.00000
17778,20060105,89800.00000
17778,20060106,89500.00000
17778,20060109,89900.00000
17778,20060110,89790.00000
17778,20060111,89410.00000
17778,20060112,89300.00000
17778,20060113,89600.00000
17778,20060117,89300.00000
17778,20060118,89950.00000
17778,20060119,90200.00000
17778,20060120,89500.00000
17778,20060123,89300.00000
17778,20060124,89600.00000
17778,20060125,89850.00000
17778,20060126,89600.00000
17778,20060127,89500.00000
17778,20060130,89290.00000
17778,20060131,89490.00000
17778,20060201,88990.00000
17778,20060202,88690.00000
17778,20060203,88275.00000
17778,20060206,88175.00000
17778,20060207,87700.00000
17778,20060208,87800.00000
17778,20060209,87800.00000
17778,20060210,88000.00000
17778,20060213,88000.00000
17778,20060214,88100.00000
17778,20060215,88000.00000
17778,20060216,87590.00000
17778,20060217,87675.00000
17778,20060221,87390.00000
17778,20060222,87100.10156
17778,20060223,87100.00000
17778,20060224,86950.00000
17778,20060227,87375.00000
17778,20060228,86800.00000
17778,20060301,86900.00000
17778,20060302,87000.00000
17778,20060303,87490.00000
17778,20060306,88100.00000
17778,20060307,88400.00000
17778,20060308,88700.00000
17778,20060309,89800.00000
17778,20060310,89900.00000
17778,20060313,90200.00000
17778,20060314,89750.00000
17778,20060315,89390.00000
17778,20060316,89200.00000
17778,20060317,88800.00000
17778,20060320,89900.00000
17778,20060321,89700.00000
17778,20060322,90000.00000
17778,20060323,90000.00000
17778,20060324,90000.00000
17778,20060327,89900.00000
17778,20060328,89600.20313
17778,20060329,89710.00000
17778,20060330,89660.00000
17778,20060331,90350.00000
17778,20060403,90490.00000
17778,20060404,90090.00000
17778,20060405,89990.00000
